incident_id,date,state,city_or_county,address,n_killed,n_injured,congressional_district,gun_stolen,gun_type,incident_characteristics,latitude,location_description,longitude,n_guns_involved,notes,participant_age,participant_age_group,participant_gender,participant_status,participant_type,state_house_district,state_senate_district
489581,6/7/2013,California,Santa Monica,2036 Yorkshire Ave,6,1,33,0::Not-stolen||1::Unknown,0::223 Rem [AR-15]||1::44 Mag,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||School Incident||School Shooting - university/college||Drive-by (car to street, car to car)||Mass Murder (4+ deceased victims excluding the subject/suspect/perpetrator , one location)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Domestic Violence||Kidnapping/abductions/hostage||Car-jacking||Possession of gun by felon or prohibited person||Stolen/Illegally owned gun{s} recovered during arrest/warrant",34.026,Santa Monica College,-118.461,2,"ms; 1 inj, 6 killed, including shooter. Incident started at perps home and ended at Santa Monica College. Domestic dispute believed to have triggered the event.",0::55||1::25||2::68||3::26||4::68||5::50||6::23,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+||5::Adult 18+||6::Adult 18+,0::Male||1::Male||2::Male||3::Female||4::Female||5::Female||6::Male,0::Killed||1::Killed||2::Killed||3::Killed||4::Killed||5::Injured||6::Killed,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Victim||6::Subject-Suspect,50,26
487645,6/9/2013,Pennsylvania,York,600 block of West Princess Street,0,4,4,,,"Shot - Wounded/Injured||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",39.955,,-76.7412,,4 inj; non-life threatening.,,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Teen 12-17,0::Male||1::Male||2::Male||3::Female,0::Injured||1::Injured||2::Injured||3::Injured,0::Victim||1::Victim||2::Victim||3::Victim,,
487659,6/10/2013,Missouri,Saint Louis,4700 block of Highland Ave,0,6,1,0::Unknown,0::Unknown,"Shot - Wounded/Injured||Drive-by (car to street, car to car)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",38.6647,,-90.2506,1,"4inj; non life-threatening. Kingsway East neighborhood. Perp arrested and charged.;
38.664689, -90.250555",0::13||1::14||2::15||3::17||4::22||5::34||6::21,0::Teen 12-17||1::Teen 12-17||2::Teen 12-17||3::Teen 12-17||4::Adult 18+||5::Adult 18+||6::Adult 18+,0::Male||1::Male||2::Female||3::Male||4::Female||5::Female||6::Male,"0::Injured||1::Injured||2::Injured||3::Injured||4::Injured||5::Injured||6::Unharmed, Arrested",0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Victim||6::Subject-Suspect,76,4
487670,6/10/2013,Illinois,Chicago,5700 block of South Sangamon Street,1,4,7,0::Unknown,0::Unknown,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Drive-by (car to street, car to car)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",41.7904,,-87.649,1,1 killed; 4 inj. Drive by multiple perps. The Jeep used in the shooting was found burning in an alley a few hours after the shooting.,0::18||1::15||2::18||3::21||4::20,0::Adult 18+||1::Teen 12-17||2::Adult 18+||3::Adult 18+||4::Adult 18+||5::Adult 18+||6::Adult 18+,0::Female||1::Male||5::Male||6::Male,0::Killed||1::Injured||2::Injured||3::Injured||4::Injured||5::Unharmed||6::Unharmed,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Subject-Suspect||6::Subject-Suspect,6,3
487715,6/14/2013,North Carolina,High Point,2201 Little Avenue,0,5,12,,,"Shot - Wounded/Injured||Drive-by (car to street, car to car)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",35.9689,,-79.9787,,"5 inj, non-life threatening injuries. Outside Sellers Grocery store. Perp arrested and charged.",0::20||1::20||2::43||3::49||4::21||5::18,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+||5::Adult 18+,0::Male||2::Male||3::Male||4::Male||5::Male,"0::Injured||1::Injured||2::Injured||3::Injured||4::Injured||5::Unharmed, Arrested",0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Subject-Suspect,60,28
488992,6/15/2013,Rhode Island,Providence,256 Hartford Ave,1,3,2,0::Unknown,0::Unknown,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Gang involvement||Possession of gun by felon or prohibited person",41.8173,,-71.4516,1,"ms; 1 killed, 3 inj at graduation party by rival gang. All 5 perps guilty and sentenced.",0::12||1::44||2::23||3::33||4::21||5::20||6::23||7::19||8::17,0::Teen 12-17||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+||5::Adult 18+||6::Adult 18+||7::Adult 18+||8::Teen 12-17,0::Female||1::Female||3::Female||4::Male||5::Male||6::Male||7::Male,"0::Killed||1::Injured||2::Injured||3::Injured||4::Unharmed, Arrested||5::Unharmed, Arrested||6::Unharmed, Arrested||7::Unharmed, Arrested||8::Unharmed, Arrested",0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect||5::Subject-Suspect||6::Subject-Suspect||7::Subject-Suspect||8::Subject-Suspect,9,7
487833,6/15/2013,Tennessee,Nashville,135 Brinkhaven Ave,0,4,5,0::Unknown,0::Unknown,"Shot - Wounded/Injured||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Domestic Violence||Possession of gun by felon or prohibited person",36.1646,Brinkhaven Apartments,-86.7771,1,dv; 4 inj; non life-threatening injuries. Perp surrenders after man hunt. Perp charged.,0::34||1::14||2::14||3::15||4::39,0::Adult 18+||1::Teen 12-17||2::Teen 12-17||3::Teen 12-17||4::Adult 18+,0::Female||1::Female||2::Female||3::Female||4::Male,"0::Injured||1::Injured||2::Injured||3::Injured||4::Unharmed, Arrested",0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,51,19
487891,6/15/2013,Texas,Houston,9780 Bissonnet,1,3,9,,,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Bar/club incident - in or around establishment||Gang involvement",29.6754,Manny's Place,-95.5499,,1 killed; 3 inj. Parking lot of after hrs strip club. 2 of the club's security were shot. 3 inj expected to make a full recovery.,0::43||1::24||2::27||3::28,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Male||1::Male||2::Female||3::Female||4::Male,0::Killed||1::Injured||2::Injured||3::Injured||4::Unharmed,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,146,13
488134,6/16/2013,Illinois,Chicago,900block of East 79th Street,1,3,1,,,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Bar/club incident - in or around establishment",41.7513,,-87.6027,,1 killed 3 inj. Bar disagreement turns deadly. Chatham neighborhood nightclub.,0::40||1::40||2::35||3::35,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Male||1::Male||2::Male||3::Male||4::Male,0::Killed||1::Injured||2::Injured||3::Injured||4::Unharmed,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,5,3
488426,6/21/2013,Illinois,Chicago,2900 block of North Kilpatrick Avenue,1,3,4,,,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",41.9335,,-87.7445,,1 killed; 3 inj.,0::21||1::30||2::28||3::17||4::20,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Teen 12-17||4::Adult 18+,0::Male||1::Male||2::Male||3::Female||4::Male,"0::Killed||1::Injured||2::Injured||3::Injured||4::Unharmed, Arrested",0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,39,20
488505,6/21/2013,Virginia,Norfolk,1225 Tidewater Drive,0,6,3,,,"Shot - Wounded/Injured||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",36.8571,,-76.2735,,6 inj by gunfire at a graduation party.,0::16||1::17||6::25||7::20||8::20||9::24,0::Teen 12-17||1::Teen 12-17||6::Adult 18+||7::Adult 18+||8::Adult 18+||9::Adult 18+,6::Male||7::Male||8::Male||9::Male,"0::Injured||1::Injured||2::Injured||3::Injured||4::Injured||5::Injured||6::Unharmed||7::Unharmed, Arrested||8::Unharmed, Arrested||9::Unharmed, Arrested",0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Victim||6::Subject-Suspect||7::Subject-Suspect||8::Subject-Suspect||9::Subject-Suspect,89,5
488547,6/21/2013,North Carolina,Greenville,205 Greenville Blvd SW,0,5,1,0::Unknown,0::Other,"Shot - Wounded/Injured||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator shot||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Hate crime||Possession of gun by felon or prohibited person||Stolen/Illegally owned gun{s} recovered during arrest/warrant",35.5744,,-77.3873,1,"ms; hc. 6 inj. victims shot because of their ""race, color, religion, nationality, or country of origin."" Perp sentenced to 97 yrs.",0::70||1::69||2::50||3::64||4::23,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Male||1::Male||2::Male||3::Male||4::Male,"0::Injured||1::Injured||2::Injured||3::Injured||4::Injured, Arrested",0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,24,5
488833,6/22/2013,Maryland,Baltimore,700 block of N. Kenwood Avenue,1,4,7,,,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Drive-by (car to street, car to car)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Gang involvement",39.2991,,-76.5783,,"1 killed; 4 inj-non life-threatening. Madison-Eastend neighborhood ""three gangs, the Bloods, Black Guerrilla Family and DJ Boys"" fighting for territory.",0::18,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Female||1::Female||2::Female||3::Female||4::Male,0::Killed||1::Injured||2::Injured||3::Injured||4::Injured,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim,45,45
